scalerS16b IPM2C21A IPM2C24A 
9324 4159 10.3181 9.78166
9332 4159 10.3181 9.97987
8891 4025 10.4787 9.97987
8805 4025 10.4787 9.72107
8864 4025 9.99765 9.31386
9044 4070 9.99765 9.48332
9364 4204 10.2609 9.63891
8999 4036 10.2609 9.88796
8658 3950 10.6372 9.88796
8768 3990 9.9151 9.27535
8436 3884 9.63885 9.36213
8971 4037 9.6889 9.13825
9154 4110 9.5485 9.2964
9467 4191 10.1634 9.83712
9180 4123 10.3305 10.0189
9180 4123 10.6808 10.1349
9077 4089 10.2258 9.63223
9190 4120 10.1432 9.94752
9643 4268 10.363 10.0954
9562 4242 10.8882 10.4086
9753 4297 10.7484 10.4086
9989 4387 11.0253 10.5185
9798 4335 11.1937 10.7614
9346 4178 11.0233 10.2525
9448 4226 10.5885 9.92493
9565 4226 10.6652 10.5
9559 4255 10.9525 10.0826
9788 4328 10.6535 10.4585
9667 4271 10.9986 10.4585
9304 4170 10.9986 10.4585
9247 4143 10.4358 10.309
9347 4186 10.1783 10.0466
9485 4223 10.5196 10.0466
9491 4223 10.5196 10.0466
9608 4259 10.684 10.2792
9363 4181 10.766 10.2839
9268 4159 10.7022 9.99528
9118 4108 10.4052 9.99528
9240 4137 10.2804 9.7678
8818 4008 10.2804 9.7678
11422 4824 9.91835 9.50283
11300 4790 11.698 9.50283
11365 4822 12.6295 12.3132
13073 5379 13.0253 12.2608
12084 5056 14.168 12.2608
12882 5314 14.168 14.15
12882 5314 14.168 18.9132
13059 5381 14.4885 13.8296
12855 5321 14.8044 14.1182
12374 5162 14.8044 14.1182
12882 5343 14.183 13.4845
13713 5602 14.2454 13.5739
12872 5328 15.7274 14.9921
14897 5975 24.2749 14.0997
15317 6125 15.6 16.8151
16165 6411 17.5734 16.8151
15585 6228 18.2585 17.3614
15970 6365 17.6007 16.697
16795 6599 18.6446 17.7825
17127 6736 18.5276 17.5299
17612 6884 19.3388 18.4151
17746 6958 19.8757 18.9071
17145 6796 20.3827 19.4093
17426 6871 20.0551 19.2378
17025 6731 19.6196 18.6277
17442 6877 19.7873 18.8218
17761 6965 19.37 18.4151
17679 6965 20.4035 19.4175
17515 6920 20.3242 19.3333
17998 7052 20.4256 19.1813
17626 6967 20.0252 19.1813
18109 7115 20.5296 19.4575
18903 7362 20.2163 19.2337
18086 7094 21.0925 20.1364
18369 7207 21.567 20.3983
17856 7027 20.8299 19.8437
