scalerS16b IPM2C21A IPM2C24A 
8579 3937 9.78965 9.57934
8331 3876 10.0406 9.57934
8554 3937 9.4302 9.0263
8481 3897 9.4302 9.0263
8646 3980 9.55565 9.11771
8621 3980 9.55565 9.11771
9081 4094 9.633 9.26765
9081 4094 10.2492 9.26765
8766 4013 10.2492 9.25224
9249 4132 10.3916 9.91979
9722 4295 10.7432 10.231
9592 4269 11.0292 10.5098
9836 4348 11.0292 10.5098
9867 4348 11.0292 10.5098
9672 4296 11.0292 10.5098
9544 4241 11.1533 10.6289
9364 4185 10.5203 9.99836
9358 4226 10.6808 10.0944
9811 4331 10.5794 10.0944
9704 4301 10.8986 10.3326
9644 4301 10.8986 10.4271
9681 4301 10.8986 10.6305
9689 4301 11.1943 10.6305
9648 4301 10.8426 10.3542
9773 4328 10.9681 10.3542
9896 4365 10.9681 10.4441
9204 4172 11.1637 10.6921
9998 4411 10.7049 10.2079
9934 4367 10.7724 10.3419
9753 4332 11.4127 10.896
9398 4211 11.024 10.5499
8949 4067 11.024 10.5499
9257 4169 10.389 9.89001
8882 4055 10.1946 9.89001
9358 4183 10.1946 9.54699
9172 4137 10.1108 9.63685
9490 4247 10.5222 9.96755
9490 4247 10.5222 9.96755
9202 4142 10.6385 10.0954
9198 4142 10.528 10.0451
9394 4221 10.285 9.84328
8672 3979 10.621 10.1565
9219 4160 9.7422 9.31694
8977 4067 10.3994 9.90439
9260 4161 10.1432 9.64507
9914 4379 10.4078 9.88025
10949 4673 11.1449 10.4502
11371 4842 12.4748 11.9199
11744 4949 12.9942 12.153
13298 5445 13.1579 12.554
12693 5255 15.067 23.2431
12721 5285 14.5763 13.9775
11831 5001 14.3455 13.6334
12078 5091 13.6585 13.0511
13826 5640 13.6585 13.0511
14455 5868 15.5272 14.5505
14021 5717 16.2766 15.5816
14083 5717 25.1888 15.6402
14786 5987 15.7807 15.0466
15560 6239 16.4268 15.6967
16227 6441 17.5149 16.7298
15811 6318 18.5133 17.6562
16211 6434 18.161 17.2649
16538 6545 18.6121 17.7537
17484 6890 18.2169 17.3306
17787 6962 20.2215 19.2408
16866 6695 20.3658 19.3702
17876 2940 19.5546 18.6852
17876 2940 20.0265 18.8886
16982 6752 19.8965 18.8886
17633 6952 19.7314 18.8886
17791 6996 20.5361 19.5489
17893 7041 20.7389 19.7543
17514 2827 20.0655 19.0437
17685 6989 20.0655 19.1094
18102 7106 20.4191 19.4165
17469 6931 20.8533 19.7841
18506 7263 20.3008 19.36
17785 7042 21.151 20.1138
18024 7119 20.657 19.6249
17667 6994 20.5647 19.5325
17430 6896 20.436 19.4175
16872 6732 19.9134 18.941
17161 6841 19.2946 18.2631
18246 7208 19.8198 18.8362
18074 7116 20.9872 19.8858
18833 7355 20.761 19.7502
16912 6764 21.6203 20.6355
17932 7077 19.6872 18.2272
18184 7185 20.6934 19.6373
18419 7274 20.8858 19.8365
18526 7274 21.1731 20.1364
17659 7016 21.3005 20.2678
18136 7166 20.2826 19.2871
18507 7270 20.6635 19.6763
18543 7325 21.3811 20.3479
19001 7461 21.3226 20.2432
18367 7241 21.8712 20.7249
18819 7396 21.1679 20.7249
18237 7195 21.4708 20.4003
18237 7195 21.4708 20.4003
19185 7523 21.2251 20.1333
17618 7015 21.2251 20.1333
17497 6958 21.2251 19.0416
17455 6958 19.8731 18.9594
18180 7175 20.5881 19.5952
17444 6942 20.5036 19.514
17739 7040 20.2306 19.247
18983 7446 20.2306 19.247
19997 7795 22.4172 21.3267
20164 7872 22.4172 21.3267
19050 7486 23.4195 22.2767
18667 7371 21.3655 20.3048
18936 7464 21.3655 20.3048
18409 7289 21.2979 20.2791
18359 7289 21.0626 20.2791
18034 7158 21.1354 20.0419
18337 7241 20.7454 20.0419
18296 7241 20.7454 19.7749
17762 7055 20.345 19.1566
17268 6890 20.4867 19.1566
16875 6768 20.4867 18.3052
17285 6902 19.6885 18.3052
17449 6955 19.6885 18.9317
17707 7037 20.2358 19.1279
17616 6984 20.2358 19.4432
17857 7096 20.2228 19.4432
17277 6906 20.5452 19.2562
16980 6803 20.5452 19.551
17062 6803 19.5013 18.562
17670 7023 19.5013 18.562
17670 7023 20.4529 18.562
18876 7416 21.6645 19.4267
18132 7170 21.6645 20.6951
17421 6941 20.9339 19.9197
18303 7230 20.1799 19.1761
22518 8632 21.1055 20.045
22338 8632 23.9538 23.3961
21732 8391 26.4992 25.1543
23480 8961 25.0848 25.2873
22605 8717 26.6916 25.2873
33296 12262 26.3458 25.1435
35243 12950 34.2992 31.7754
34950 12950 40.2902 38.3918
35359 13046 40.2902 37.6395
35035 12949 40.9533 38.9053
34972 12949 41.8242 39.75
33979 12581 40.586 38.5484
34375 12783 39.5265 37.5625
34381 12783 40.2513 38.1941
35392 13134 39.1885 37.2313
34685 12904 40.6283 38.4509
35318 13109 40.6283 38.6691
36673 13518 39.9328 37.9271
35816 13254 41.6877 39.4804
33836 12626 42.5295 40.4535
35839 13289 39.9165 38.361
35506 13151 39.6435 37.791
36814 13635 41.912 39.8553
34306 12803 41.327 39.3623
34609 12907 41.9608 40.4356
35692 13212 39.5882 37.5779
35692 13212 40.6932 38.7718
35309 13126 41.21 39.1364
36021 13372 40.9142 38.9002
37272 13819 41.9543 39.8296
36001 13332 42.9162 40.9054
36027 13332 41.8795 39.7937
35539 13225 41.5382 39.0748
35635 13225 41.2945 39.3213
35503 13225 41.2945 39.3213
36744 13576 41.197 39.1955
36604 13576 42.5165 40.7591
36089 13453 42.328 40.2507
35482 13186 41.8892 39.8245
35148 13057 41.2067 39.2083
35547 13232 40.8655 38.8719
33775 12633 41.1418 39.0337
36838 13683 39.5363 37.3777
38275 14165 42.5522 39.1518
39347 14515 44.642 42.451
37570 13942 45.5293 42.8208
37794 14019 44.2715 42.3381
37221 13807 42.7212 40.872
38454 14232 44.0277 41.8092
37638 13941 44.1838 41.9119
38333 14198 43.6442 41.4035
35494 13215 43.5337 41.632
36135 13457 42.692 40.89
36984 13736 40.5892 38.9849
37592 13920 43.1925 41.0518
35105 13093 43.3713 40.7514
36841 13655 41.0767 39.1107
36841 13655 41.782 39.7013
37862 14050 44.2812 42.1532
37492 13896 43.745 41.5704
36534 13541 43.2673 41.1468
35446 13224 41.041 38.9823
34324 12837 40.2577 38.3739
34855 13003 41.08 38.5741
35399 13196 40.0433 37.9528
38064 14077 42.9878 40.8155
36925 13714 43.9335 41.7065
36928 13714 43.082 40.8155
37981 14049 42.7017 40.6153
38974 14416 43.9725 41.7501
39037 14416 45.2075 42.9722
38106 14117 45.1295 42.6308
37985 14117 44.5998 42.4356
37914 9959 43.7775 41.4985
39320 14524 44.1805 42.0146
36035 13413 45.0223 43.4524
36143 13413 42.2012 39.8373
37373 13928 41.743 39.6961
36761 13661 43.5435 41.4163
37014 13661 42.7342 40.6487
36913 13734 42.939 40.8207
36465 13628 42.653 40.6024
35195 13131 42.5035 40.3508
35724 13322 40.7712 38.8155
46562 16963 41.4342 39.388
49357 1567 51.857 49.658
50323 1969 57.5282 54.6672
70955 8956 57.5282 54.6672
70955 8956 78.611 73.0582
75209 10448 78.611 73.0582
76344 27242 160.544 137.346
75813 10786 88.179 83.8956
76165 10786 89.934 85.5388
75003 10455 88.062 83.7108
69852 8738 84.422 80.5168
68146 24479 80.847 76.7991
68313 8217 80.847 73.8208
68141 24492 78.039 77.3434
67676 24352 79.937 75.9569
70401 13014 78.793 74.971
71929 9483 82.927 78.8531
69074 8455 82.927 80.1471
72126 9408 84.305 80.1471
72268 25927 81.692 79.8082
72964 26184 85.15 79.8082
77772 11432 85.15 82.7762
74656 26765 90.155 82.7762
73738 9992 90.155 85.7237
74577 26764 87.334 80.1368
74040 10185 84.136 82.9611
75068 26969 86.957 82.9611
76871 27547 86.957 83.6491
76642 11066 87.698 85.775
72748 26169 88.712 85.6313
72091 9539 85.059 80.9379
70999 25561 85.059 80.2395
74965 26887 82.602 78.1033
77935 11492 82.602 83.1562
72532 9655 87.529 83.1562
72532 9655 90.961 86.1858
76095 10912 87.88 80.5681
82097 12947 87.88 83.7621
79048 28238 95.186 90.7457
80478 12352 92.612 87.8701
76932 27543 93.847 89.1128
78161 28035 90.519 86.1756
76698 27498 91.663 87.1923
80295 12374 89.531 85.128
81340 49489 92.664 89.8522
79814 12127 94.081 89.8522
76532 27409 94.172 89.9857
73321 9966 90.467 86.0318
69347 8623 86.801 78.2163
68004 24525 82.966 78.2163
67848 4445 79.521 75.6694
68810 8426 79.807 75.8029
66933 7764 80.366 76.3574
71009 9174 79.131 75.2277
71629 25693 78.702 75.1456
68952 8484 84.409 80.2498
70194 8344 80.717 78.5552
69277 8543 82.719 78.5552
66390 7593 81.913 74.4164
70470 25356 78.793 74.4164
73614 26465 80.821 76.0493
71053 25545 82.849 78.3293
73431 22222 84.552 80.5887
72130 25914 83.798 79.8698
74343 10316 84.604 80.5271
72145 9541 84.851 80.6606
72145 9541 86.801 82.7557
75654 10737 84.903 80.3011
74279 10251 88.803 84.0291
77407 27699 86.957 82.6119
76375 27361 90.792 86.0934
75060 26918 89.193 84.7891
76389 27350 88.127 83.9264
73306 26302 89.05 84.7378
74858 26861 85.839 81.5541
72097 9548 86.775 82.3449
73488 26442 84.799 80.2703
76818 11103 86.463 81.3076
76207 10929 89.557 85.1383
74849 10494 88.894 84.4091
75474 27052 87.49 83.2281
77159 11252 87.971 83.8545
71649 9384 90.324 85.621
70371 8945 84.357 80.5271
73723 10123 82.693 78.4936
73234 9915 84.812 79.3871
73537 10045 87.178 82.1497
71993 9500 86.047 81.2049
73363 10003 83.85 80.0136
74486 10438 85.384 80.9687
74580 26805 86.008 81.78
75420 23023 87.893 83.7313
71850 9470 87.386 83.3513
72350 26036 83.889 80.2703
71446 25690 85.358 81.1022
71675 9372 83.33 79.6644
68056 8178 82.849 78.7812
68056 8178 83.369 79.0174
70741 25494 82.121 78.432
70499 9054 81.926 77.4871
72182 25943 83.174 78.7812
69120 24929 83.304 79.0995
73003 9843 81.497 77.5796
73855 26525 86.554 82.2935
79735 28605 87.061 81.8827
83035 13275 95.108 90.1809
82009 29270 96.993 92.2759
114190 7241 98.202 92.7586
117549 24568 136.513 130.059
118988 57653 139.009 131.898
117892 57247 139.191 132.37
113875 39590 136.136 129.371
114735 56180 133.198 127.451
106708 53626 133.835 126.259
113809 55946 124.202 118.67
113405 55946 132.704 126.105
113447 22990 132.704 126.311
114181 39645 133.159 126.146
115477 23723 133.159 126.146
114908 56297 134.602 127.831
110947 5862 134.368 126.455
112669 22791 130.143 123.117
111883 38935 130.143 123.117
113783 51839 130.429 124.503
110337 38401 132.509 126.023
111442 38836 129.441 126.023
114846 39921 129.857 123.856
107897 37563 132.977 126.455
107897 37563 132.977 126.455
111643 22498 129.974 123.856
110226 22035 127.582 123.856
105157 20406 125.294 117.633
107738 4789 126.308 117.633
106361 4444 126.308 117.941
110408 22052 123.76 117.941
110726 22200 128.921 121.905
112205 39021 130.754 124.401
108102 37625 130.754 124.401
108389 37842 128.583 122.511
109539 38178 128.856 122.439
102518 19560 128.856 122.439
100439 2356 122.707 116.359
104124 3662 119.275 114.408
102897 3351 119.522 114.408
105091 36772 121.485 115.445
103351 19767 121.368 115.445
103883 3639 119.613 115.969
109227 25795 119.613 114.582
106207 53442 123.838 118.978
106028 4260 126.594 120.293
106423 4388 123.903 117.663
109002 5188 123.565 117.273
108164 21312 124.098 121.063
108713 5161 127.504 121.063
103728 52701 127.01 120.847
104431 16049 126.087 119.748
110753 54966 120.653 115.003
107237 53840 124.033 117.9
107561 53840 128.895 122.531
107561 53840 125.71 119.645
108669 37851 126.204 120.087
108040 37851 126.529 120.272
112705 6414 126.737 120.272
108182 21257 131.768 125.222
109819 54685 126.958 120.529
112674 22831 127.634 121.371
111609 22530 131.716 125.263
109668 21787 130.234 123.938
111906 22613 129.87 123.148
112063 55338 129.324 123.374
109155 54476 130.78 124.329
102943 35978 127.634 121.535
103523 35978 121.797 116.318
106567 53611 121.797 116.051
110218 38396 122.174 116.174
101216 19041 124.93 118.629
102279 35823 124.02 118.341
108274 37842 116.09 110.495
110189 9716 123.968 118.146
107263 37369 129.558 123.291
106878 20845 126.23 120.056
106447 16663 124.007 117.561
112858 22879 126.061 119.491
106989 21173 127.777 119.43
106262 20709 127.634 122.254
109100 38092 125.762 120.405
108403 54219 124.137 118.239
110002 54663 127.205 120.405
108105 21318 127.946 121.504
103279 36127 126.061 120.631
103279 36127 125.32 119.111
105906 20581 120.809 114.808
103354 36140 125.411 119.101
105611 36878 119.639 113.946
112186 18652 125.437 117.92
110862 54907 131.157 124.575
106486 53527 130.247 123.507
105685 32878 122.538 117.797
111134 54970 123.799 118.454
104696 36608 127.92 122.552
109157 54448 123.825 116.832
109779 38248 127.231 121.699
110804 38541 128.336 122.028
106687 4427 129.116 122.901
106327 37223 123.955 117.663
102906 52438 124.397 118.074
101486 35632 121.368 114.418
104869 16237 117.767 112.765
103126 3334 122.837 116.575
103697 19940 120.627 114.757
104075 36456 120.367 114.459
102482 23685 122.018 116
107109 21052 119.054 113.237
107691 4890 124.345 118.454
138915 64326 126.139 119.841
131593 45487 148.447 141.736
139546 64440 157.04 148.134
142165 32574 156.481 151.185
135600 14007 170.404 161.075
141047 15874 159.055 151.031
143824 16725 160.069 152.694
143824 16725 166.998 158.939
142262 49056 168.064 160.12
143011 65479 168.064 156.042
141023 48600 164.762 156.977
