scalerS16b IPM2C21A IPM2C24A 
1535 4186 9.69865 9.23889
1567 4209 10.5131 10.0394
1561 4209 10.5131 10.0394
1595 4278 10.6905 10.1873
1537 4134 10.6905 10.1873
1552 4162 10.7789 10.2798
1465 3974 10.2895 9.82479
1478 3974 10.4552 9.82479
1519 4092 9.7682 9.33902
1567 4223 9.7682 9.33902
1548 4182 10.1666 9.71285
1496 3992 10.582 10.1041
1507 4054 10.3948 9.9085
1561 4213 9.9008 9.44326
1561 4213 10.0666 9.57061
1520 4064 10.5658 10.0841
1541 4129 10.1757 9.71388
1566 4212 10.3616 9.91004
1564 4212 10.5072 10.0179
1504 4077 10.5794 10.0826
1583 4222 10.0451 9.57729
1556 4175 10.6411 10.1555
1598 4300 10.4104 9.99528
1560 4181 10.8017 10.1072
1588 4216 10.5527 10.1072
1572 4216 10.6567 10.1072
1565 4192 10.5716 10.1072
1589 4250 10.5716 10.0559
1608 4312 10.5716 10.0559
1582 4255 11.1404 10.5858
1598 4280 10.6093 10.1067
1557 4173 10.9155 10.424
1565 4211 10.7438 10.2608
1569 4211 10.2557 9.78885
1558 4211 10.491 9.99784
1594 4246 10.7705 10.3876
1520 4105 10.6476 10.1606
1598 4284 10.5658 10.0538
1613 4314 10.3714 9.93571
1647 4412 10.8264 10.326
1632 4358 11.1559 10.6248
1633 4358 11.2307 10.706
1599 4287 11.1806 10.706
1631 4370 11.0162 10.4795
1576 4220 10.8927 10.4051
1576 4220 11.1215 10.5355
1582 4261 10.7211 10.2407
1535 4155 10.6691 10.1678
1574 4222 10.3012 9.84379
1547 4151 10.541 10.0903
1559 4201 10.4241 9.92698
1540 4153 10.4975 10.0235
1570 4217 10.307 9.88025
1527 4105 10.5716 10.097
1567 4203 10.1888 9.72774
1534 4132 10.5989 10.117
1557 4216 10.2901 9.82428
1544 4139 10.4423 9.9542
1567 4175 10.2908 9.80323
1606 4328 10.4592 10.0081
1795 4780 10.7347 10.1211
1818 4824 12.6607 12.0626
1821 4879 12.7504 12.2449
1942 5151 12.6938 12.1309
1896 5073 14.0744 13.3957
1964 5211 13.7299 23.7802
1931 5147 14.1395 13.543
1908 5074 14.1395 13.543
1854 4971 13.689 13.0429
1981 5268 13.3744 12.782
2088 9628 13.7553 13.0727
2205 5832 15.3673 14.6265
2205 5872 16.1928 15.4451
2321 6152 28.0917 15.559
2355 6236 17.1444 16.2482
2304 6099 18.0375 17.1263
2304 6099 17.5474 16.6692
2362 6207 17.2848 16.4618
2450 6418 17.9829 17.2577
2467 6510 18.6628 17.7229
2564 6755 19.3739 18.3617
2514 6669 19.2322 18.2292
2467 6509 19.3284 18.4059
2401 6305 18.2702 17.3799
2418 6404 18.2702 17.4898
2501 6621 18.4002 17.5915
2514 6621 19.3024 18.3484
2546 6733 19.3024 18.3484
2672 7069 19.3024 18.6359
2836 7490 21.4552 20.1549
2684 7105 22.0701 20.9426
2657 6978 20.4477 19.5469
2558 6799 20.3112 19.3209
2594 6880 19.7301 18.7653
2675 7090 19.9641 18.8711
2661 7090 20.6024 19.6414
2683 7145 20.449 19.4781
2599 6846 20.7896 19.7708
2658 7041 19.8549 18.8937
2685 7116 20.4022 19.3877
2733 7192 20.4022 19.3877
2651 7016 20.9222 19.9033
2659 7016 20.9222 19.2131
2642 7016 20.5036 19.3251
2642 7016 20.5036 19.3251
2612 6921 20.1838 19.1987
2663 7075 19.903 18.8834
2663 7075 20.0161 18.9738
2749 7294 20.0161 20.1631
2732 7294 21.229 20.2422
2717 7294 21.229 19.9926
2742 7241 21.1198 20.1949
2639 7039 20.5881 20.1949
2710 7214 20.5881 20.1929
2787 7428 21.0054 20.4619
2720 7244 21.6775 20.4619
2738 7299 21.1419 20.0748
2805 7454 20.9859 20.0748
2755 7296 21.7568 20.7813
2728 7296 20.4789 19.59
2852 7593 20.4789 19.59
2793 7444 21.8426 21.0525
2753 7302 21.8426 21.0001
2672 7117 22.0454 21.0001
2763 7337 20.5738 19.7841
2807 7467 21.6489 19.7841
2637 7004 21.6489 20.4691
2857 7592 21.7022 20.1425
2843 7592 20.7337 20.1425
2847 7592 22.3561 21.2681
2695 7182 22.3561 21.2681
2822 7497 21.1588 20.1682
2756 7304 21.1588 20.1682
2767 7384 22.0129 19.6013
2786 7425 20.6687 19.6013
2760 7318 21.6242 20.4014
2779 7407 21.7542 20.654
2883 7665 21.4227 20.35
2883 7665 21.7087 20.6068
2850 7616 22.5706 21.5136
2807 7457 22.1598 21.1285
2747 7303 21.9986 20.8193
2772 7348 21.3434 20.275
2881 7658 21.3434 20.275
2871 7658 22.3314 21.2979
2866 7658 22.5615 21.4684
2765 7314 22.2976 21.2455
2773 7391 22.1494 21.0812
2814 7446 20.917 19.9587
2769 7361 22.0272 20.9754
2677 7116 21.6242 20.5605
2614 6951 20.6479 19.5664
2676 7101 20.098 19.133
2707 7186 20.4867 19.5541
2724 7249 20.4867 19.4935
2774 7378 21.0821 20.0162
2576 6885 21.5319 20.4928
2538 6750 19.9693 19.1423
2637 7027 19.5312 18.8691
2771 7352 19.7093 18.752
2656 7052 21.1627 19.8529
2601 6926 21.1627 20.0861
2682 7147 20.0798 19.0642
2662 7072 20.5361 19.5438
2590 6878 20.5361 19.5438
2583 2789 19.8133 18.8691
2649 7028 19.9082 18.9225
2626 6981 20.0096 19.0313
2626 7018 20.2748 19.2881
2626 7018 20.0681 19.0919
2536 6749 19.7548 18.8444
2891 7719 19.7548 18.7746
3326 8841 24.8625 23.5604
3279 8727 26.1235 24.8513
3266 8727 26.4511 41.383
3339 8955 26.0429 24.7892
3783 10156 26.7891 25.5543
4788 12773 32.4935 30.5173
4701 12660 54.7105 38.5048
4717 12751 40.2675 38.1402
4803 12980 40.2025 38.207
5000 13525 40.8395 38.8771
4884 13204 42.757 40.4792
5031 13606 41.392 39.2494
5099 13783 42.6042 40.4381
4968 13472 43.0365 40.9696
4789 12952 42.4613 40.2558
4710 12793 40.0822 38.1941
4652 12629 39.6532 37.6806
4871 13177 39.3348 37.4059
5061 13739 41.041 38.9875
5017 13619 42.8968 40.6024
5005 13540 42.7537 40.6024
4757 12899 42.5913 40.4047
4960 13480 40.3942 38.6409
5056 13729 41.444 39.465
5056 13729 43.602 41.3676
4965 13490 41.236 39.1569
5021 13609 42.1493 39.8784
5173 14048 41.9055 39.8784
5173 14048 44.59 42.4023
4930 13403 42.64 40.4818
4978 13581 41.834 39.7629
4874 13259 42.8773 40.7745
4834 13175 41.3855 39.3469
4939 13425 40.7745 38.741
4765 12940 41.1872 39.1775
4742 12940 38.779 36.9592
4989 13499 38.779 39.5318
5123 13978 42.1167 39.7423
4981 13540 42.1167 41.7835
5015 13651 42.6367 40.4047
5333 14486 43.3745 41.2084
5045 13728 44.6387 42.03
4789 13031 41.5382 40.1018
5160 14042 41.5382 39.0414
5156 14042 43.6865 41.8605
5311 14435 43.6865 42.1943
5129 13981 44.4372 43.4755
5077 13843 43.3452 41.2931
5085 13843 43.1112 40.9593
5157 14031 43.1112 41.2289
5075 13819 43.7808 41.8965
4737 12891 43.7808 40.7873
4898 13298 39.91 40.7873
5022 13655 39.91 40.0119
4834 13079 42.185 40.0119
4618 12574 42.185 40.7745
4761 12929 41.1418 37.1979
4527 12267 39.8092 37.1979
4548 12390 38.285 35.7678
4548 12390 37.752 35.8885
5100 13850 37.752 40.1223
4943 13443 42.3377 40.5896
5071 13806 42.419 40.736
4849 13209 43.0137 40.736
5106 13904 43.0137 39.6268
4973 13533 43.0137 40.3226
5127 13912 42.744 41.365
4574 12420 43.394 41.365
4916 13350 40.495 39.2083
4927 13350 39.5363 37.3854
5175 14090 42.0713 39.768
5051 13721 43.524 41.7065
5186 14098 43.966 41.7963
5092 13812 42.4678 41.4703
4957 13511 43.602 41.4703
5192 14126 42.952 41.0492
5116 13931 42.6562 41.0492
4994 13542 44.59 40.2019
4908 13340 42.4125 40.2019
5069 13806 41.4862 40.7308
4886 13260 41.4862 39.3906
4855 13173 43.095 41.0877
4996 13540 40.4333 38.3739
5220 14349 40.963 40.3483
9510 25972 40.963 39.2109
9469 25972 54.249 52.7775
9237 25353 84.6982 80.5219
9200 8906 153.751 123.841
9136 25179 81.965 112.467
9316 25685 82.784 78.5963
9316 25685 81.25 76.6964
9889 27186 84.4935 79.8287
10152 11723 88.699 84.214
9758 6562 91.9295 87.3566
9539 26485 87.6655 83.3821
10106 28034 86.9375 82.3757
9850 11346 91.7085 86.915
9680 6366 88.816 84.1935
9722 26852 87.386 83.0843
9474 9785 88.439 83.3616
9507 9840 84.955 80.2498
9146 25270 85.436 80.5373
9312 25667 83.3105 78.3909
9042 8592 83.5575 79.0482
9291 25650 81.094 76.8504
9163 8972 82.3875 78.0006
9435 26085 81.679 77.8261
9444 21954 85.1955 80.4449
9255 9182 84.4935 79.7671
9433 9612 82.797 78.4628
9351 9433 84.903 80.3114
9323 25667 83.343 78.1239
9515 9879 84.4805 80.0752
9531 26324 82.6995 78.8428
9741 10597 87.9645 82.807
9556 26322 83.382 79.3357
9363 9450 88.5755 83.9881
9255 25530 83.3495 78.9558
9285 25530 83.1805 78.8428
9197 9003 82.81 78.5347
9407 26116 82.2575 77.7747
9407 26116 85.2475 80.5579
9458 26116 84.3245 79.9314
9167 8848 84.1295 79.6849
9518 26250 83.187 78.8017
9908 10942 86.879 82.1087
9428 9558 87.607 83.1767
9245 9109 82.979 78.2369
9257 25565 82.2055 77.9596
8930 8217 84.188 79.8698
9638 26644 80.4895 75.6283
9561 26458 86.125 81.8005
10130 28010 86.125 81.626
9372 9449 90.9025 86.1139
9404 26000 84.123 79.6849
9664 26667 84.123 79.8184
9834 10745 86.983 82.4886
9863 10802 88.6925 84.0805
9751 26894 88.595 83.8751
9314 25700 86.801 82.9097
9713 10420 83.4665 78.8839
9361 25818 87.5485 82.7659
9505 9950 83.746 80.0238
9238 25513 85.878 80.0238
9052 20884 82.6215 78.5244
9008 24825 81.549 77.9698
8929 8296 81.1135 76.9018
9303 9256 79.9435 75.6488
8952 8363 79.9435 75.6488
9190 25367 80.0865 76.1212
9562 10104 82.056 77.9801
10059 11387 84.656 79.9828
10059 11387 89.8755 85.4053
9774 26944 88.556 84.5837
9670 10294 86.1965 81.7903
9715 26794 88.075 83.4746
9484 9750 84.201 79.7979
9777 26993 88.0425 79.7979
9734 26993 88.0425 82.4476
9739 26993 86.6125 82.4476
9183 8954 85.9755 82.6838
8919 24578 80.5025 76.3061
9059 8678 78.897 75.1867
9356 9529 78.897 75.1867
12001 49640 94.2175 79.8801
12353 50407 111.644 107.013
12072 465 111.644 107.013
13261 52846 109.083 104.364
13443 20377 114.53 117.088
13616 37311 121.732 117.088
13280 19961 121.732 115.938
13251 36155 124.592 114.254
12152 49599 120.971 114.254
12901 35272 119.411 113.299
13183 36034 111.039 105.329
13441 36779 117.429 111.347
13139 19477 120.328 117.088
13851 54228 123.344 117.088
13478 20406 119.749 113.73
12939 35317 127.335 120.631
12546 50729 122.688 116.39
13239 19803 116.922 111.152
12967 35398 114.004 108.081
12967 35398 120.237 113.258
13316 3747 120.341 113.258
13397 36694 119.646 114.665
13122 19415 122.414 116.051
13196 3334 120.763 113.658
13186 35981 119.282 113.196
14020 5640 121.531 115.219
13800 4808 126.159 119.44
14517 23272 126.529 120.087
14485 14923 130.227 123.764
14390 2298 130.695 124.175
14496 39491 134.836 129.371
14241 38731 128.661 122.182
14297 55308 130.734 124.698
14003 21692 130.734 124.133
13585 4310 129.61 122.757
13832 5009 123.936 117.181
14704 23649 126.828 120.467
14153 38616 131.17 124.205
14158 22201 132.197 125.407
14465 39431 128.434 121.915
14474 55796 131.989 125.037
14455 6658 134.062 127.656
14118 5704 131.307 124.246
14143 22109 130.566 124.318
13732 4700 129.22 122.49
13622 37158 127.842 121.042
13274 36319 126.425 119.913
13274 36319 122.635 115.928
13737 4841 126.074 118.197
13739 4768 125.567 119.224
13739 4768 123.974 117.9
14141 54919 127.445 121.792
13886 54200 127.757 121.33
13477 36794 125.261 118.115
13729 21171 123.701 117.335
13964 54475 128.804 121.227
13370 36528 126.613 119.009
13013 35573 120.555 114.983
12898 35320 118.618 111.902
13106 52196 118.229 111.594
13119 35821 119.398 113.196
13666 20948 119.08 113.412
14043 54773 125.944 117.715
14232 38901 128.29 121.587
13931 38002 129.331 123.497
13830 38002 127.608 120.508
14505 6783 126.62 118.485
14588 23291 133.152 125.807
14384 55571 133.152 126.352
14276 38907 132.255 126.218
13193 19579 129.948 123.322
13634 37201 122.018 115.322
13646 37201 123.299 116.544
13967 54474 123.351 116.955
13357 52852 127.361 120.744
13957 54385 120.854 115.681
14150 22237 127.055 119.995
14036 54657 128.336 121.34
14036 54657 128.889 122.326
13800 4870 127.257 120.816
14654 40021 125.099 119.317
14654 40021 131.04 125.458
14375 55506 133.503 127.112
13811 21272 128.011 121.217
13751 21059 127.777 120.96
13715 37370 123.994 116.472
13099 3013 122.298 115.548
13383 52938 120.302 114.182
13180 19573 120.068 114.007
18720 116908 127.556 119.574
18722 18288 183.911 174.734
20231 38832 279.123 164.946
20099 87594 184.314 175.175
20268 88050 184.314 177.034
20609 56206 188.149 178.544
20102 71208 189.384 178.934
19674 20782 185.185 176.408
19583 20626 180.154 171.786
19833 37715 180.518 171.53
19561 69775 180.518 171.53
19174 52274 182.338 173.573
17904 65133 174.564 166.836
18096 32907 174.564 156.227
18377 66476 164.307 156.227
19513 69578 167.479 161.455
18718 67379 179.036 161.455
17915 65102 179.036 169.979
17684 31731 165.503 163.735
18910 67861 161.889 154.943
18776 55211 161.889 154.943
18758 83822 172.653 164.71
18768 18362 172.653 164.351
18768 18362 172.133 163.909
18413 50117 172.133 163.509
17431 31038 171.652 163.509
17906 65071 166.166 156.515
17691 48144 166.166 156.515
17832 32185 161.057 153.177
18054 81929 164.073 157.46
18034 16367 164.073 156.361
18439 66658 164.073 156.125
18628 50696 168.857 160.818
18463 33863 169.91 161.732
17766 48472 175.422 167.411
18083 32848 159.068 150.466
18237 49605 166.66 159.401
17839 64913 168.61 160.366
17975 36570 161.902 153.896
18624 30127 162.344 154.163
17888 64972 170.222 162.451
18367 66288 168.064 160.161
19240 36018 163.878 156.864
19210 68634 169.598 161.578
19210 52081 177.619 169.126
18548 50248 178.113 169.968
18554 50248 171.86 164.608
18327 82400 169.325 161.147
18233 65888 168.753 160.613
18762 51299 169.442 161.26
18739 18045 165.841 158.189
18726 18045 170.378 162.204
18623 34074 174.707 166.282
18790 83753 169.715 161.865
18790 83753 170.365 162.112
19183 52133 173.472 164.854
