scalerS16b	IPM2C21A	IPM2C24A	
12943	1.3901e+07	20.6213	20.0008
143	1.3901e+07	20.3352	16.8274
142	1.3901e+07	7.31575	0
144	1.3901e+07	0	0
143	1.3901e+07	0	0
140	1.3901e+07	0	0
141	1.3901e+07	0	0
140	1.3901e+07	0	0
140	1.3901e+07	0	0
140	1.3901e+07	0	0
141	1.3901e+07	0	0
143	1.3901e+07	0	0
143	1.3901e+07	0	0
147	1.3901e+07	0	0
145	1.3901e+07	0	0
145	1.3901e+07	0	0
142	1.3901e+07	0	0
143	1.3901e+07	0	0
141	1.3901e+07	0	0
6387	1.3901e+07	0	0
17085	1.3901e+07	0	0.6162
17408	1.3901e+07	1.95	1.5405
17678	1.3901e+07	3.9	3.081
17934	1.3901e+07	7.8	6.162
17048	1.40042e+07	19.5	15.405
16941	1.39025e+07	32.2218	27.4194
17114	1.39025e+07	31.4236	30.8316
17095	1.39025e+07	30.5728	29.8934
17304	1.39025e+07	20.3905	19.8647
16637	1.39025e+07	20.683	20.0856
16906	1.39025e+07	20.683	19.5952
15921	1.39025e+07	19.786	19.3256
16447	1.40235e+07	19.9615	18.925
15906	1.39029e+07	19.3797	18.925
16304	1.39029e+07	19.4513	18.4655
16468	1.39029e+07	19.1815	18.9764
17030	1.39029e+07	19.578	18.9764
16681	1.39029e+07	20.0525	19.667
16390	1.39029e+07	20.2345	19.4283
17222	1.39029e+07	19.916	19.1125
17222	1.39029e+07	19.7535	19.7543
17185	1.39029e+07	20.956	20.0881
16857	1.39029e+07	20.4165	19.8802
16721	1.39029e+07	20.4165	19.7929
16763	1.39029e+07	20.111	19.2229
17371	1.39029e+07	20.1857	20.083
17461	1.39029e+07	20.852	20.2678
17084	1.39029e+07	21.008	20.1574
17428	1.39029e+07	20.6343	20.1574
17372	1.39029e+07	20.8942	20.0008
17255	1.39029e+07	20.8942	20.3628
17385	1.39029e+07	20.8942	20.1164
16868	1.39029e+07	20.9722	20.196
17571	1.39029e+07	20.3872	19.78
17039	1.39029e+07	20.8845	20.0804
18039	1.40169e+07	20.306	20.0804
17465	1.39181e+07	21.5345	21.0792
17493	1.39181e+07	21.2517	20.1883
17784	1.39181e+07	20.8748	20.4039
17280	1.39181e+07	21.2582	20.5862
17727	1.39181e+07	21.0665	20.3269
17461	1.39181e+07	21.0665	20.5066
17585	1.39181e+07	21.1185	20.386
17126	1.39181e+07	20.9982	20.4501
16800	1.39181e+07	20.9982	19.9084
14914	1.39181e+07	20.3092	19.5207
15770	1.39181e+07	19.6365	17.8184
15843	1.39181e+07	18.1935	18.2113
15759	1.39181e+07	18.954	18.3884
15608	1.39181e+07	18.8662	18.2447
14395	1.39181e+07	19.0093	18.391
14395	1.39181e+07	18.4697	17.097
14439	1.39181e+07	17.3778	16.7863
14506	1.39181e+07	17.3778	16.8864
15025	1.39181e+07	17.4688	17.0302
14638	1.39181e+07	17.8393	17.1637
13708	1.39181e+07	17.5695	16.4448
13654	1.39181e+07	16.5295	15.9801
13857	1.39181e+07	16.5295	16.0417
13322	1.39181e+07	16.6108	16.1881
13989	1.39181e+07	16.1915	15.5565
13203	1.39181e+07	16.6042	16.0289
13724	1.39181e+07	16.0518	15.672
13805	1.39181e+07	16.6367	15.8312
13629	1.39181e+07	16.1947	16.0238
13966	1.39181e+07	16.6562	16.0238
13389	1.39181e+07	16.6562	16.0751
12920	1.39181e+07	16.3118	15.215
13221	1.39181e+07	15.327	15.1149
13376	1.39181e+07	15.8795	15.4512
13175	1.39181e+07	16.146	15.6643
13365	1.39181e+07	15.951	15.2843
13124	1.39181e+07	15.951	15.5899
13147	1.39181e+07	15.951	15.2741
12439	1.39181e+07	15.6097	15.2227
12468	1.39181e+07	15.4602	14.568
12799	1.39181e+07	15.0767	14.6219
12595	1.39181e+07	14.9792	14.7041
12505	1.39181e+07	15.288	14.7734
13081	1.39181e+07	15.106	14.6116
13193	1.39181e+07	15.236	14.9095
12602	1.39181e+07	15.4602	15.0815
12602	1.39181e+07	15.8015	15.0147
13091	1.39181e+07	15.327	15.1354
12846	1.39181e+07	15.743	15.0687
12649	1.39181e+07	15.3335	14.6193
13065	1.39181e+07	15.1547	15.0378
13056	1.39181e+07	15.6585	15.0378
12640	1.39181e+07	15.6585	15.0378
12578	1.39181e+07	15.1937	14.6656
12561	1.39181e+07	15.0833	14.6656
12909	1.39181e+07	15.2425	14.8504
12590	1.39181e+07	15.4212	14.8504
13132	1.39181e+07	15.1353	14.8504
12956	1.39181e+07	15.8275	15.1097
12682	1.39181e+07	15.3595	14.9018
12424	1.39181e+07	15.3595	14.9018
12545	1.39181e+07	15.0345	14.4576
12164	1.39181e+07	15.171	14.5937
12524	1.39181e+07	14.7712	14.0263
12834	1.39181e+07	14.6185	14.6373
12568	1.39181e+07	15.2913	14.9043
12619	1.39181e+07	15.47	14.7477
12834	1.39181e+07	15.1613	14.5166
13034	1.39181e+07	14.9858	14.9249
12793	1.39181e+07	15.5188	15.1046
13341	1.39181e+07	15.4668	14.93
12653	1.39181e+07	15.6683	15.2946
13270	1.39181e+07	15.964	15.0507
12788	1.39181e+07	15.5382	15.3331
13019	1.39181e+07	15.821	15.2227
13480	1.39181e+07	15.4505	14.9891
13294	1.39181e+07	15.691	15.4743
13294	1.39181e+07	16.1493	15.4743
13430	1.39181e+07	15.964	15.6515
13295	1.39181e+07	16.1168	15.4769
13245	1.39181e+07	15.9315	15.3691
13071	1.39181e+07	15.8665	15.2792
12944	1.39181e+07	15.7235	15.2227
12836	1.39181e+07	15.548	14.8941
12864	1.39181e+07	15.457	14.8941
12835	1.39181e+07	15.3888	15.0455
13154	1.39181e+07	15.5252	14.9274
12941	1.39181e+07	15.5252	15.3023
13132	1.39181e+07	15.6423	14.9583
12985	1.39181e+07	15.5642	15.1508
13014	1.39181e+07	15.6455	15.2972
13335	1.39181e+07	15.7852	15.2972
12853	1.39181e+07	15.7852	15.3768
12651	1.39181e+07	15.6747	14.871
12515	1.39181e+07	15.236	14.6553
12593	1.39181e+07	14.9565	14.6553
12698	1.39181e+07	15.3465	14.6553
12841	1.39181e+07	15.1742	14.7837
13025	1.39181e+07	15.1742	14.8966
12654	1.39181e+07	15.6812	15.1405
12830	1.39181e+07	15.548	14.8838
12180	1.39181e+07	15.119	14.7323
12380	1.39181e+07	15.119	14.3652
12603	1.39181e+07	14.6023	14.2317
12521	1.39181e+07	14.8882	14.5218
12399	1.39181e+07	14.8265	14.3575
11552	1.39181e+07	15.08	14.6835
11552	1.39181e+07	14.989	13.8234
11061	1.39181e+07	13.7703	13.0557
11513	1.39181e+07	13.221	13.1944
11703	1.39181e+07	13.8515	13.4023
11209	1.39181e+07	13.923	13.3202
10600	1.39181e+07	13.429	12.6655
10354	1.39181e+07	12.6783	12.2033
10404	1.39181e+07	9.1104	11.9671
10312	1.39181e+07	12.4436	12.0493
10397	1.39181e+07	12.3825	12.134
9534	1.39181e+07	12.5281	11.849
9546	1.39181e+07	11.6181	10.8734
9503	1.39181e+07	11.3308	11.0634
9390	1.39181e+07	11.3308	11.0634
9320	1.39181e+07	11.3308	10.858
9441	1.39181e+07	11.1098	10.7553
9331	1.39181e+07	11.2346	10.8734
9378	1.39181e+07	11.1358	10.8734
9202	1.39181e+07	11.3139	10.8734
9306	1.39181e+07	11.0435	10.7758
8976	1.39181e+07	11.102	10.6115
8912	1.39181e+07	10.7991	10.424
9021	1.39181e+07	10.6561	10.365
8403	1.39181e+07	10.8537	10.4523
9071	1.39181e+07	10.3701	9.83096
8772	1.39181e+07	10.4611	7.64601
9099	1.39181e+07	10.7341	10.2279
9068	1.39181e+07	10.5898	10.4898
8726	1.39181e+07	10.7562	10.4898
8767	1.39181e+07	10.8472	10.3614
9052	1.39181e+07	10.4806	10.0687
9052	1.39181e+07	10.4806	10.3676
8749	1.39181e+07	10.7328	10.3676
9090	1.39181e+07	10.6041	10.3172
9048	1.39181e+07	10.8433	10.4189
8887	1.39181e+07	10.7614	10.4189
8797	1.39181e+07	10.7042	10.2084
8768	1.39181e+07	10.3883	10.1221
8729	1.39181e+07	10.4728	10.1221
8748	1.39181e+07	10.4728	10.2875
8719	1.39181e+07	10.6054	10.0697
8519	1.39181e+07	10.3246	9.96909
8526	1.39181e+07	10.2167	9.75342
8507	1.39181e+07	10.2167	9.90336
8692	1.39181e+07	10.2167	9.90336
8481	1.39181e+07	10.2167	10.1272
8724	1.3661e+07	10.283	9.75445
8485	1.39091e+07	10.1062	10.0574
8418	1.39091e+07	10.3857	9.76061
8277	1.39091e+07	9.9983	9.70515
8369	1.39091e+07	9.8605	9.70515
8584	1.39091e+07	10.1491	9.64661
8411	1.39091e+07	10.0321	9.97217
8482	1.39091e+07	10.3584	9.82325
8584	1.39091e+07	10.1088	9.82325
8724	1.39091e+07	10.3025	9.82325
8528	1.39091e+07	10.1322	10.1252
8298	1.39091e+07	10.3207	9.8479
8326	1.39091e+07	10.2141	9.73801
8322	1.39091e+07	9.8813	9.59937
8607	1.39091e+07	9.9554	9.70002
8705	1.39091e+07	9.9554	9.70002
8705	1.39091e+07	10.2154	10.1437
8596	1.39091e+07	10.4143	9.91055
8598	1.39091e+07	10.2622	9.96703
8503	1.39091e+07	10.2622	9.8972
8771	1.39091e+07	10.3259	10.0728
8616	1.39091e+07	10.3857	10.0728
8715	1.39091e+07	10.3857	9.99271
8563	1.39091e+07	10.3298	9.84277
8458	1.39091e+07	10.2375	10.1786
8786	1.39091e+07	10.2375	9.69283
8982	1.39091e+07	10.3753	10.3655
8912	1.39091e+07	10.7367	10.3655
8885	1.39091e+07	10.7367	10.2043
8962	1.39091e+07	10.5235	10.4292
8921	1.39091e+07	10.8329	10.4292
8791	1.39091e+07	10.6834	10.2998
8855	1.39091e+07	10.6249	10.1149
8767	1.39091e+07	10.4494	10.2135
9124	1.39091e+07	10.4494	10.2875
8378	1.39091e+07	10.9148	10.537
8674	1.39091e+07	10.4182	9.74212
8921	1.39091e+07	10.1296	10.0153
8603	1.39091e+07	10.6002	10.3368
8619	1.39091e+07	10.4364	9.97628
8653	1.39091e+07	10.3181	9.91774
8601	1.39091e+07	10.3779	10.1375
8743	1.39091e+07	10.3779	9.89925
8759	1.39091e+07	10.3025	10.117
8539	1.39091e+07	10.4897	10.1878
8686	1.39091e+07	10.4117	10.0389
8684	1.39091e+07	10.2531	9.9506
8684	1.39091e+07	10.452	10.1539
8536	1.39091e+07	10.322	9.8972
8956	1.39091e+07	10.27	10.1673
8942	1.39091e+07	10.7978	10.5216
8844	1.39091e+07	10.6496	10.233
8525	1.39091e+07	10.53	10.0862
8451	1.39091e+07	10.2141	9.79244
8384	1.39091e+07	10.127	9.70002
8289	1.39091e+07	9.9866	9.70002
8432	1.39091e+07	9.9866	9.70002
8353	1.39091e+07	10.0529	9.63531
8327	1.39091e+07	10.0529	9.75958
8605	1.39091e+07	10.0529	9.75958
8300	1.39091e+07	10.2492	9.75958
5475	1.39091e+07	9.9021	9.52029
3843	1.39091e+07	8.1549	5.29521
3873	1.39091e+07	4.5448	4.40891
3863	1.39091e+07	3.3007	4.40891
3877	1.39091e+07	4.56105	4.40891
3825	1.39091e+07	4.56105	4.40891
3754	1.39091e+07	4.56105	4.40891
3764	1.39091e+07	4.4928	4.3247
3810	1.39091e+07	4.4928	4.3247
3795	1.39091e+07	4.4928	4.3247
3853	1.39091e+07	4.4928	4.3247
4016	1.39091e+07	4.4928	4.45718
4194	1.39091e+07	4.7112	4.59685
4069	1.39091e+07	4.79375	4.77966
4190	1.39091e+07	4.97445	4.70982
4318	1.39091e+07	4.77425	4.70982
4349	1.39091e+07	5.0245	4.96246
4349	1.39091e+07	5.1324	4.96246
4243	1.39091e+07	5.0505	4.85052
4276	1.39091e+07	5.0505	4.95527
4336	1.39091e+07	5.0505	4.88852
4512	1.39091e+07	5.1766	5.11651
4472	1.39091e+07	5.34105	5.173
4541	1.39091e+07	5.34105	5.173
4505	1.39091e+07	5.34105	5.25824
4469	1.39091e+07	5.34105	5.11754
4398	1.39091e+07	5.34105	5.11754
4548	1.40276e+07	5.2312	5.17813
4479	1.39071e+07	5.40605	5.23359
4475	1.39071e+07	5.35535	5.08776
4467	1.39071e+07	5.2741	5.08776
4375	1.39071e+07	5.2741	5.08776
4471	1.39071e+07	5.1961	5.08776
4456	1.39071e+07	5.2806	5.211
4500	1.39071e+07	5.35275	5.09084
4409	1.39071e+07	5.22015	5.09084
4441	1.39071e+07	5.3092	5.09084
4369	1.39071e+07	5.2494	5.09084
4367	1.38055e+07	5.2494	5.01073
4380	1.39058e+07	5.1805	5.01073
4201	1.39058e+07	5.1805	5.01073
4320	1.39058e+07	5.1805	4.82998
4471	1.39058e+07	5.0817	4.98711
4347	1.39058e+07	5.0817	5.10214
4431	1.39058e+07	5.239	4.97068
4367	1.39058e+07	5.15385	5.09187
4383	1.39058e+07	5.2689	5.09187
4340	1.39058e+07	5.2078	5.09187
4340	1.39058e+07	5.13955	4.92755
4279	1.39058e+07	5.13955	4.9789
4291	1.39058e+07	5.0427	4.87825
4410	1.39058e+07	5.13435	5.06003
4482	1.39058e+07	5.2338	5.06003
4469	1.39058e+07	5.29035	5.17094
4352	1.39058e+07	5.29035	5.12062
4320	1.39058e+07	5.1688	4.93782
4235	1.39058e+07	5.1688	4.93782
4369	1.39058e+07	5.0492	4.93782
4349	1.39058e+07	5.14475	4.93782
4272	1.39058e+07	5.14475	4.98814
4457	1.39058e+07	5.14475	4.98814
4354	1.39058e+07	5.23315	5.05695
4279	1.39058e+07	5.1714	4.9676
4531	1.39058e+07	5.09535	4.9029
4362	1.39058e+07	5.2338	5.21202
4421	1.39058e+07	5.2338	5.03641
4427	1.39058e+07	5.2338	5.03641
4502	1.39058e+07	5.2338	5.10008
4546	1.39058e+07	5.30725	5.17403
4352	1.39058e+07	5.39565	5.23873
4397	1.39058e+07	5.28515	5.00457
4337	1.39058e+07	5.19285	5.00457
4421	1.39058e+07	5.07585	5.00457
4359	1.39058e+07	5.2767	5.13705
4497	1.39058e+07	5.2767	5.0436
4354	1.39058e+07	5.19155	5.10316
4529	1.39058e+07	5.2962	5.10316
4421	1.39058e+07	5.239	5.10316
4451	1.39058e+07	5.33195	5.10316
4451	1.39058e+07	5.2598	5.01279
4334	1.39058e+07	5.19935	5.06311
4373	1.39058e+07	5.13695	4.97581
4336	1.39058e+07	5.19545	4.97581
4283	1.39058e+07	5.13695	4.97581
4337	1.39058e+07	5.0362	4.88749
4279	1.39058e+07	5.11485	4.97068
4298	1.39058e+07	5.11485	4.9029
4322	1.39058e+07	5.11485	5.01587
4269	1.39058e+07	5.11485	4.90495
4238	1.39058e+07	5.0544	4.83203
4293	1.39058e+07	5.0544	4.92652
4331	1.39058e+07	5.0544	4.92652
4370	1.39058e+07	5.0544	5.00354
4434	1.39058e+07	5.1545	5.00354
4340	1.39058e+07	5.2975	5.12165
