scalerS16b	IPM2C21A	IPM2C24A	
80292	1.38033e+07	92.495	89.0204
81828	1.38033e+07	93.977	90.4684
80681	1.38033e+07	93.4505	89.9652
80769	1.39157e+07	94.2435	90.7354
80430	1.15558e+07	93.5285	90.0268
80430	1.15558e+07	93.314	89.7957
80957	1.38221e+07	92.638	89.1795
81990	1.38221e+07	93.8145	90.3041
82199	1.38221e+07	93.4375	89.9601
80379	1.38221e+07	94.2175	90.6841
80441	1.38221e+07	93.171	89.6828
81717	1.38221e+07	92.742	89.2617
80349	1.36641e+07	93.808	90.2938
81861	1.38401e+07	93.054	89.5955
78394	1.36676e+07	93.3205	89.8266
80299	1.36676e+07	91.5525	88.1577
80450	1.31656e+07	92.6575	89.1898
81461	1.37648e+07	93.4245	89.919
81074	1.37648e+07	93.3595	89.8676
79379	1.3849e+07	93.496	89.9909
80997	1.37711e+07	92.7615	89.2822
80774	1.35877e+07	93.6325	90.1347
79817	1.38421e+07	92.118	88.666
80880	1.38421e+07	93.1385	89.6417
80357	1.20703e+07	93.1385	89.6417
80449	1.27696e+07	93.041	89.5595
65120	1.36776e+07	93.3205	89.8163
61654	1.38339e+07	89.18	85.7853
62272	1.38339e+07	70.9735	68.3263
62128	1.38339e+07	71.721	69.0144
61407	1.36312e+07	70.811	68.1466
58989	1.38471e+07	71.565	68.8655
57578	1.38471e+07	70.0245	67.3866
58760	1.38471e+07	68.237	65.6664
58462	1.38471e+07	67.0345	64.5007
59143	1.37002e+07	67.4505	64.9115
59143	1.37002e+07	67.678	65.1118
57593	1.38564e+07	67.8015	65.2453
55998	1.38564e+07	66.131	63.6226
56100	1.37049e+07	65.338	62.8883
57804	1.38445e+07	64.8375	62.3954
57428	1.38445e+07	66.2545	63.751
56233	1.38445e+07	66.2545	63.8024
55104	1.38445e+07	64.363	61.9281
56622	1.38445e+07	64.2785	61.8408
56823	1.38445e+07	64.675	62.2567
55196	1.38445e+07	65.1235	62.6727
54265	1.37445e+07	64.454	62.0411
55582	1.38315e+07	63.492	61.0962
54657	1.38315e+07	63.2645	60.8703
54597	1.38315e+07	63.4855	61.0808
55863	1.3908e+07	63.284	60.9062
54907	1.3908e+07	63.453	61.05
54210	1.36702e+07	63.167	60.7881
55153	1.38573e+07	63.414	61.0038
55208	1.38573e+07	62.9395	60.5622
54763	1.38573e+07	63.4855	61.086
54552	1.30462e+07	62.907	60.5108
55213	1.37834e+07	63.323	60.9216
55068	1.36954e+07	63.492	61.1014
55486	1.38959e+07	62.946	60.5519
54014	1.38959e+07	63.505	61.1065
55278	1.38959e+07	63.3295	60.9473
53676	1.37731e+07	63.219	60.8292
55449	1.38465e+07	63.414	61.0295
54837	1.38465e+07	62.153	59.8073
54533	1.38465e+07	63.648	61.2554
54533	1.38465e+07	63.648	61.2554
54731	1.37004e+07	62.6795	60.3106
55096	1.38375e+07	62.9005	60.5365
55395	1.38375e+07	63.271	60.8806
55435	1.38375e+07	64.2265	61.8049
54870	1.33872e+07	63.1215	60.7419
53913	1.38405e+07	63.505	61.1116
54834	1.38405e+07	62.5235	60.1514
54090	1.37046e+07	62.9915	60.6033
55067	1.39674e+07	62.556	60.1925
54426	1.38548e+07	62.933	60.5468
55192	1.38548e+07	63.206	60.8241
53899	1.37712e+07	62.816	60.4492
54729	1.38653e+07	62.452	60.0898
54842	1.38653e+07	63.1215	60.747
54259	1.38653e+07	62.114	59.7714
54620	1.37083e+07	62.816	60.403
53431	1.38385e+07	62.5105	60.1411
53941	1.38385e+07	61.763	59.4222
52786	1.38385e+07	62.5235	60.1617
52518	1.38385e+07	60.5735	58.2822
52697	1.36333e+07	60.7945	58.4928
52456	1.36333e+07	61.1065	58.7803
52815	1.38083e+07	60.788	58.4774
52827	1.38083e+07	60.8985	58.6058
53522	1.22124e+07	60.1575	57.8612
53261	1.37267e+07	61.399	59.0576
52922	1.38489e+07	60.1445	57.8612
54391	1.38489e+07	61.594	59.2528
52242	1.38489e+07	61.4835	59.1706
54090	1.38489e+07	61.5745	59.2374
54090	1.38489e+07	61.0935	58.7855
52091	1.37393e+07	61.8735	59.5455
53368	1.38299e+07	60.06	57.815
52189	1.38299e+07	61.425	59.0987
53284	1.38299e+07	60.307	58.046
52459	1.38299e+07	61.2365	58.919
54555	1.39426e+07	60.7685	58.4722
53071	1.38676e+07	62.075	59.7355
53477	1.38676e+07	61.802	59.4684
52788	1.38676e+07	60.9895	58.6725
53167	1.38676e+07	60.8985	58.6058
53448	1.38676e+07	61.594	59.2733
53479	1.38676e+07	61.867	59.5301
50199	1.38676e+07	61.919	59.5301
34868	1.35158e+07	61.3145	59.0166
35059	1.38414e+07	43.212	41.5884
34558	1.38414e+07	39.637	38.1274
34472	1.37606e+07	40.2155	38.6717
33816	1.38424e+07	39.39	37.8809
31830	1.37699e+07	39.715	38.2044
32551	1.37699e+07	37.726	36.289
31718	1.38493e+07	36.6275	35.2261
32418	1.16149e+07	36.5495	35.1542
31582	1.38463e+07	36.387	35.0002
30397	1.38463e+07	36.7835	35.3853
30326	1.38463e+07	35.347	34.004
30331	1.13046e+07	34.9505	33.6034
30278	1.38465e+07	34.8205	33.4905
29852	1.38465e+07	34.658	33.3261
28550	1.30266e+07	34.658	33.3261
28861	1.38551e+07	33.709	32.4224
28861	1.38551e+07	32.7925	31.5392
28971	1.37852e+07	33.033	31.7651
28495	1.37852e+07	32.6755	31.4262
28719	1.37852e+07	32.9355	31.6829
27715	1.34808e+07	32.6235	31.3697
28133	1.31756e+07	31.915	30.697
28124	1.31756e+07	32.3245	31.0822
28595	1.22497e+07	32.097	30.8665
27974	1.38314e+07	32.8185	31.5597
27274	1.18601e+07	32.1035	30.8768
27384	1.12599e+07	31.4145	30.2041
27037	1.35008e+07	31.2585	30.0654
26984	1.36878e+07	30.706	29.5211
27009	1.29802e+07	30.9595	29.7727
26939	1.37402e+07	31.135	29.9422
26722	1.20843e+07	30.5955	29.4235
27461	1.01707e+07	30.745	29.5673
27156	1.3544e+07	31.0895	29.896
26709	1.38406e+07	30.8945	29.7008
27149	1.38406e+07	30.615	29.4338
27473	1.3681e+07	31.2975	30.0808
