scalerS16b	IPM2C21A	IPM2C24A	
11393	1.3903e+07	155.155	149.788
11356	1.3903e+07	156.78	151.318
11418	1.3903e+07	155.948	150.568
11389	1.3903e+07	157.404	151.945
11299	1.3903e+07	157.989	152.52
11272	1.3903e+07	155.467	150.086
11158	1.3903e+07	156.481	151.072
11158	1.3903e+07	153.166	147.857
11340	1.3903e+07	154.921	149.562
11418	1.3903e+07	157.547	152.099
11225	1.3903e+07	155.545	150.188
11435	1.3903e+07	155.896	150.527
11358	1.3903e+07	157.677	152.201
11354	1.3903e+07	155.896	150.497
11203	1.3903e+07	154.544	149.203
11386	1.3903e+07	154.609	149.264
11159	1.3903e+07	156.156	150.743
11206	1.3903e+07	153.543	148.237
11322	1.3903e+07	155.064	149.696
11320	1.3903e+07	155.493	150.117
11381	1.3903e+07	155.961	150.579
11314	1.3903e+07	157.157	151.719
11366	1.3903e+07	156.052	150.64
11271	1.3903e+07	156.754	151.328
11253	1.3903e+07	154.856	149.48
11319	1.3903e+07	155.857	150.455
11342	1.3903e+07	156.208	150.815
11391	1.3903e+07	156.208	150.764
11409	1.3903e+07	157.573	152.119
11184	1.3903e+07	157.053	151.637
11253	1.3903e+07	154.323	148.966
11298	1.3903e+07	155.48	150.106
11369	1.3903e+07	155.259	149.88
11269	1.3903e+07	156.351	150.959
11399	1.3903e+07	156.273	150.887
11315	1.3903e+07	155.857	150.497
11320	1.3903e+07	156.689	151.277
11298	1.3903e+07	155.974	150.63
11298	1.3903e+07	156.104	150.702
11095	1.3903e+07	152.919	147.611
11317	1.3903e+07	154.557	149.223
11311	1.3903e+07	155.61	150.24
11321	1.3903e+07	156.988	151.575
11271	1.3903e+07	154.297	148.966
11297	1.3903e+07	156.507	151.092
11030	1.3903e+07	152.295	147.005
11273	1.3903e+07	153.842	148.525
11184	1.3903e+07	154.674	149.305
11094	1.3903e+07	153.582	148.258
11199	1.3903e+07	152.412	147.149
11144	1.3903e+07	155.519	150.158
11361	1.3903e+07	153.543	148.217
11239	1.3903e+07	156.299	150.877
11282	1.3903e+07	155.09	149.726
11242	1.3903e+07	155.506	150.127
11256	1.3903e+07	155.506	150.127
11321	1.3903e+07	154.362	149.018
11228	1.3903e+07	156.728	151.308
11219	1.3903e+07	154.817	149.47
11383	1.3903e+07	154.518	149.172
11426	1.3903e+07	156.507	151.092
11348	1.3903e+07	157.131	151.698
11253	1.3903e+07	156.273	150.907
11153	1.3903e+07	155.844	150.466
11209	1.3903e+07	153.283	147.98
11267	1.3903e+07	154.128	148.802
11342	1.3903e+07	155.623	150.26
11256	1.3903e+07	156.052	150.702
11352	1.3903e+07	154.739	149.408
11352	1.3903e+07	156.403	151.031
11356	1.3903e+07	156.962	151.554
11423	1.3903e+07	156.78	151.39
11552	1.3903e+07	159.614	154.122
11203	1.3903e+07	156.754	151.339
11130	1.3903e+07	154.362	149.038
11109	1.3903e+07	153.361	148.083
11131	1.3903e+07	151.762	146.532
11198	1.3903e+07	154.817	149.47
11277	1.3903e+07	155.48	150.117
11126	1.3903e+07	154.375	149.049
11122	1.3903e+07	154.622	149.305
11195	1.3903e+07	153.101	147.857
11242	1.3903e+07	154.57	149.254
11249	1.3903e+07	155.389	150.045
11171	1.3903e+07	154.856	149.521
11295	1.3903e+07	154.57	149.244
11186	1.3903e+07	155.935	150.568
10903	1.3903e+07	153.153	147.898
11103	1.3903e+07	150.787	145.598
11230	1.3903e+07	153.114	147.837
11164	1.3903e+07	154.986	149.654
10968	1.3903e+07	153.595	148.299
10879	1.3903e+07	151.71	146.481
11306	1.3903e+07	149.734	144.571
11345	1.3903e+07	155.207	149.87
11379	1.3903e+07	156.65	151.267
11353	1.3903e+07	157.3	151.883
11308	1.3903e+07	156.416	151.051
11307	1.3903e+07	156.013	150.651
11391	1.3903e+07	156.013	150.651
11391	1.3903e+07	157.573	152.16
11384	1.3903e+07	157.014	151.626
11209	1.3903e+07	155.818	150.466
11141	1.3903e+07	153.478	148.186
11241	1.3903e+07	154.115	148.802
11258	1.3903e+07	155.935	150.558
11249	1.3903e+07	154.687	149.357
11343	1.3903e+07	156.26	150.866
11280	1.3903e+07	157.17	151.77
11214	1.3903e+07	155.597	150.26
11286	1.3903e+07	154.479	149.161
11282	1.3903e+07	155.35	149.993
11413	1.3903e+07	157.391	151.986
11333	1.3903e+07	157.599	152.201
11459	1.3903e+07	158.184	152.777
11198	1.3903e+07	156.858	151.493
11409	1.3903e+07	154.206	148.905
11209	1.3903e+07	157.729	152.284
11238	1.3903e+07	154.908	149.572
11193	1.3903e+07	155.35	149.993
11215	1.3903e+07	154.882	149.552
11205	1.3903e+07	155.194	149.85
11195	1.3903e+07	154.583	149.254
11153	1.3903e+07	154.492	149.182
11135	1.3903e+07	154.154	148.853
11187	1.3903e+07	153.543	148.258
11135	1.3903e+07	154.83	149.511
11184	1.3903e+07	153.608	148.319
11018	1.3903e+07	154.284	148.956
11203	1.3903e+07	152.334	147.066
11270	1.3903e+07	154.167	148.864
11270	1.3903e+07	154.726	149.398
11214	1.3903e+07	156.221	150.856
11245	1.3903e+07	154.908	149.572
11202	1.3903e+07	154.817	149.49
11024	1.3903e+07	152.282	147.046
11152	1.3903e+07	153.27	147.98
11376	1.3903e+07	156.247	150.835
11160	1.3903e+07	154.791	149.428
11169	1.3903e+07	154.297	148.977
11140	1.3903e+07	154.622	149.274
11092	1.3903e+07	153.491	148.217
11196	1.3903e+07	153.751	148.473
11245	1.3903e+07	154.674	149.336
11101	1.3903e+07	154.817	149.48
11241	1.3903e+07	154.089	148.751
11272	1.3903e+07	154.986	149.644
11253	1.3903e+07	155.753	150.404
11273	1.3903e+07	155.454	150.106
11174	1.3903e+07	156.091	150.712
11422	1.3903e+07	154.83	149.5
11318	1.3903e+07	157.846	152.417
11296	1.3903e+07	156.234	150.835
11405	1.3903e+07	156.234	150.835
11367	1.3903e+07	157.599	152.212
11345	1.35608e+07	157.313	151.893
11409	1.38894e+07	156.715	151.359
10980	1.38894e+07	157.469	152.047
11028	1.38894e+07	152.568	147.354
11188	1.38894e+07	151.879	146.666
11388	1.38894e+07	153.868	148.566
11397	1.38894e+07	157.3	151.883
11397	1.38894e+07	157.443	152.037
11301	1.38894e+07	157.352	151.955
11104	1.38894e+07	154.609	149.285
11358	1.38894e+07	156.429	151.031
11411	1.38894e+07	157.547	152.13
11442	1.38894e+07	159.094	153.619
11387	1.38894e+07	157.69	152.273
11318	1.38894e+07	156.858	151.462
11263	1.38894e+07	156.065	150.712
11115	1.38894e+07	155.857	150.486
11259	1.38894e+07	153.92	148.638
11167	1.38894e+07	155.779	150.435
11250	1.38894e+07	154.492	149.192
11259	1.38894e+07	155.467	150.117
11270	1.38894e+07	156.013	150.64
11212	1.38894e+07	155.285	149.942
11271	1.38894e+07	154.791	149.47
11317	1.38894e+07	156.65	151.277
11232	1.38894e+07	156.702	151.277
11136	1.38894e+07	154.843	149.531
