scalerS16b	IPM2C21A	IPM2C24A		
71445	1.38265e+07	83.525	80.64	
71676	1.38265e+07	82.7385	79.6592	
72704	1.38265e+07	82.9205	79.2433	
73715	1.38265e+07	84.2985	80.0855	
72286	1.38265e+07	85.0525	80.8198	
71090	1.38265e+07	85.0525	81.8211	
71914	1.38265e+07	83.226	80.4911	
72037	1.38265e+07	82.4395	78.9198	
67139	1.38265e+07	84.0385	79.8493	
60677	1.38265e+07	83.304	80.1573	
60677	1.38265e+07	72.7025	75.6642	
61508	1.38265e+07	70.941	67.479	
60108	1.38265e+07	70.5575	68.4393	
61641	1.38265e+07	70.1935	66.8474	
60587	1.38265e+07	71.1945	68.0644	
61245	1.38265e+07	70.811	67.6433	
60356	1.38265e+07	70.603	67.9206	
61650	1.39079e+07	70.2065	67.2531	
60770	1.3827e+07	71.695	67.9155	
61719	1.3827e+07	70.3755	68.4495	
60834	1.3827e+07	71.7145	67.5098	
61467	1.3827e+07	70.4665	68.6036	
61022	1.3827e+07	71.409	67.515	
60865	1.39389e+07	70.7005	68.3725	
61860	1.38049e+07	70.7005	67.2582	
61749	1.38049e+07	71.7535	68.429	
61675	1.38049e+07	71.7535	68.8244	
62495	1.38049e+07	71.4675	68.2596	
62302	1.38049e+07	72.2475	68.8603	
63319	1.38049e+07	72.397	69.302	
62730	1.38049e+07	73.2225	69.569	
63099	1.38049e+07	72.956	70.3444	
63091	1.38049e+07	73.1055	69.6511	
61792	1.38049e+07	73.749	70.5344	
63091	1.38049e+07	71.9615	69.6563	
62824	1.38049e+07	71.9615	68.4906	
63654	1.38049e+07	73.2745	70.2417	
63336	1.38049e+07	73.6255	69.9746	
63218	1.38049e+07	73.2875	70.6987	
63206	1.38049e+07	74.0285	70.2827	
63604	1.38049e+07	73.333	70.3752	
63604	1.38049e+07	73.6515	70.2981	
64019	1.38049e+07	73.827	70.7192	
63181	1.38049e+07	73.8855	71.0787	
62325	1.38049e+07	72.7025	70.3187	
62535	1.38049e+07	72.8585	69.1736	
62982	1.38049e+07	72.579	69.5998	
64866	1.38049e+07	73.45	69.7744	
15570	1.38049e+07	72.9105	71.4022	
82	1.38049e+07	7.943	42.0762	
81	1.38049e+07	0	0	
