scalerS16b	IPM2C21A	IPM2C24A	
607	1.38338e+07	4.91237	4.76425
587	1.38338e+07	4.91237	4.76425
618	1.36922e+07	4.75735	4.61328
594	1.38811e+07	5.01865	4.86695
600	1.38811e+07	4.87663	4.72933
612	1.38811e+07	4.97542	4.82485
612	1.38811e+07	4.97542	4.82485
609	1.38811e+07	5.04303	4.89006
615	1.38811e+07	5.04303	4.89006
598	1.38811e+07	5.04303	4.89006
618	1.38811e+07	5.04303	4.89006
624	1.38811e+07	5.187	5.03127
614	1.49565e+07	5.187	5.03127
617	1.38817e+07	5.044	4.89263
611	1.38817e+07	5.044	4.89263
606	1.38817e+07	4.98518	4.83563
593	1.38817e+07	5.15223	4.99841
606	1.38817e+07	4.92212	4.77401
592	1.38817e+07	4.99655	4.84693
586	1.38817e+07	4.93122	4.78325
593	1.38817e+07	4.93122	4.78325
596	1.38817e+07	4.93122	4.78325
596	1.38817e+07	4.93122	4.78325
582	1.38817e+07	4.93122	4.78325
598	1.38817e+07	4.8594	4.71342
591	1.38817e+07	4.98583	4.83512
595	1.38817e+07	4.98583	4.83512
589	1.38817e+07	4.92408	4.77606
590	1.38817e+07	4.86298	4.71804
588	1.38817e+07	4.86298	4.71804
584	1.38817e+07	4.86298	4.71804
581	1.38817e+07	4.86298	4.71804
580	1.38817e+07	4.86298	4.71804
582	1.38817e+07	4.79278	4.64872
585	1.38817e+07	4.79278	4.64872
583	1.38817e+07	4.79278	4.64872
606	1.38817e+07	4.79278	4.64872
606	1.38817e+07	5.10217	4.94757
580	1.38817e+07	4.90457	4.75912
593	1.38817e+07	4.78855	4.64563
572	1.38817e+07	4.78855	4.64563
586	1.38817e+07	4.78855	4.64563
590	1.38817e+07	4.78855	4.64563
574	1.38817e+07	4.7112	4.5722
579	1.38817e+07	4.81163	4.6672
593	1.38054e+07	4.81163	4.6672
602	1.39023e+07	4.90587	4.7586
579	1.38093e+07	4.90587	4.7586
594	1.38835e+07	4.90587	4.7586
587	1.38835e+07	4.68747	4.54858
582	1.38835e+07	4.86427	4.71906
601	1.38835e+07	4.79765	4.65385
602	1.38835e+07	4.9049	4.75655
592	1.38835e+07	4.9049	4.75655
590	1.38835e+07	4.80967	4.66566
587	1.38835e+07	4.80967	4.66566
588	1.38835e+07	4.80967	4.66566
587	1.38835e+07	4.80967	4.66566
580	1.38835e+07	4.80967	4.66566
576	1.38835e+07	4.66407	4.52342
582	1.38835e+07	4.66407	4.52342
592	1.38835e+07	4.66407	4.52342
596	1.38835e+07	4.83112	4.68517
596	1.38835e+07	4.83112	4.68517
602	1.38835e+07	4.90815	4.76323
599	1.38835e+07	4.90815	4.76323
590	1.38835e+07	4.81292	4.6708
604	1.38835e+07	4.8984	4.75193
604	1.38835e+07	4.8984	4.75193
585	1.38835e+07	4.77133	4.62766
592	1.38835e+07	4.77133	4.62766
585	1.38835e+07	4.84282	4.69801
591	1.38835e+07	4.901	4.75552
587	1.38835e+07	4.78108	4.63793
599	1.38835e+07	4.96015	4.81149
600	1.38835e+07	4.96015	4.81149
591	1.38835e+07	4.96015	4.81149
599	1.38835e+07	4.83665	4.68774
588	1.38835e+07	4.7541	4.60558
601	1.38835e+07	4.93577	4.78479
590	1.38835e+07	4.86947	4.72215
596	1.38835e+07	4.86947	4.72215
604	1.34844e+07	4.98973	4.83974
588	1.3753e+07	4.9244	4.77658
587	1.38785e+07	4.85322	4.70674
590	1.38785e+07	4.85322	4.70674
597	1.38785e+07	4.9491	4.80071
597	1.37429e+07	5.00467	4.85514
597	1.38901e+07	4.9543	4.80431
585	1.38901e+07	4.9543	4.80431
607	1.38901e+07	4.89873	4.74885
601	1.38901e+07	4.99297	4.84487
603	1.38901e+07	4.99297	4.84487
595	1.38901e+07	4.99297	4.84487
594	1.38901e+07	4.89482	4.74577
592	1.38901e+07	4.89482	4.74577
596	1.38901e+07	4.89482	4.74577
594	1.38901e+07	4.89482	4.74577
592	1.38901e+07	4.89482	4.74577
592	1.38901e+07	4.89482	4.74577
594	1.38901e+07	4.89482	4.74577
590	1.38057e+07	4.89482	4.74577
602	1.38057e+07	4.96763	4.82433
595	1.38057e+07	4.90035	4.75655
584	1.38057e+07	4.84218	4.69442
589	1.38057e+07	4.92083	4.77658
593	1.38798e+07	4.86818	4.72163
603	1.38798e+07	4.86818	4.72163
598	1.38798e+07	4.93773	4.78787
602	1.38798e+07	4.93773	4.78787
610	1.38798e+07	4.99752	4.85155
603	1.38798e+07	4.99752	4.85155
591	1.38798e+07	4.91205	4.76374
600	1.38798e+07	4.83892	4.69544
598	1.38798e+07	4.95495	4.80533
606	1.38798e+07	4.83892	4.69236
602	1.38798e+07	4.96892	4.81817
598	1.38798e+07	4.96892	4.81817
614	1.38798e+07	4.88995	4.7432
596	1.38798e+07	5.01995	4.87055
604	1.38798e+07	4.89677	4.75039
599	1.38798e+07	4.89677	4.75039
602	1.38798e+07	4.89677	4.75039
602	1.38798e+07	4.89677	4.75039
599	1.38798e+07	4.89677	4.75039
603	1.38798e+07	4.89677	4.75039
602	1.38798e+07	4.89677	4.75039
611	1.38798e+07	4.89677	4.75039
577	1.38798e+07	4.89677	4.75039
601	1.38798e+07	4.63125	4.4921
601	1.38798e+07	4.83795	4.69236
594	1.38798e+07	4.75995	4.61739
591	1.38798e+07	4.75995	4.61739
591	1.38798e+07	4.75995	4.61739
601	1.38798e+07	4.888	4.74217
599	1.37309e+07	4.888	4.74217
600	1.38791e+07	4.888	4.74217
614	1.38791e+07	4.96242	4.81098
604	1.38791e+07	5.0401	4.88749
599	1.38791e+07	4.97997	4.83255
611	1.38791e+07	4.97997	4.83255
603	1.38791e+07	4.97997	4.83255
605	1.38791e+07	4.9023	4.75501
592	1.38791e+07	4.80772	4.66053
592	1.38067e+07	4.80772	4.66053
598	1.38825e+07	4.86135	4.7165
587	1.38825e+07	4.68455	4.54499
595	1.38825e+07	4.77782	4.63382
594	1.38825e+07	4.77782	4.63382
591	1.38825e+07	4.77782	4.63382
601	1.38825e+07	4.82853	4.63382
598	1.38825e+07	4.9205	4.77196
604	1.38825e+07	4.85225	4.70469
598	1.38043e+07	4.93902	4.79301
602	1.38789e+07	4.93902	4.79301
594	1.38789e+07	4.93902	4.79301
583	1.38789e+07	4.79798	4.6518
593	1.38789e+07	4.68942	4.54653
585	1.38789e+07	4.80188	4.65693
587	1.38789e+07	4.80188	4.65693
611	1.38789e+07	4.80188	4.65693
611	1.38789e+07	4.9166	4.76785
586	1.38789e+07	4.79082	4.64615
601	1.38789e+07	4.90977	4.7622
602	1.38789e+07	4.90977	4.7622
599	1.35821e+07	4.90977	4.7622
599	1.38628e+07	4.90977	4.7622
591	1.38628e+07	4.90977	4.7622
603	1.38628e+07	4.90977	4.7622
601	1.38628e+07	4.90977	4.7622
594	1.38628e+07	4.90977	4.7622
597	1.37744e+07	4.90977	4.7622
599	1.37744e+07	4.90977	4.7622
593	1.38671e+07	4.90977	4.7622
590	1.36106e+07	4.82072	4.67593
577	1.38782e+07	4.82072	4.67593
580	1.38782e+07	4.73362	4.59223
576	1.38782e+07	4.7996	4.65642
586	1.38782e+07	4.7996	4.65642
589	1.38782e+07	4.7996	4.65642
580	1.38782e+07	4.7996	4.65642
591	1.38782e+07	4.8607	4.71855
583	1.38782e+07	4.8607	4.71855
585	1.38782e+07	4.8607	4.71855
584	1.38782e+07	4.80772	4.66361
582	1.38782e+07	4.80772	4.66361
594	1.38782e+07	4.80772	4.66361
602	1.38782e+07	4.92115	4.77452
602	1.38782e+07	5.05862	4.90649
591	1.38782e+07	4.99102	4.84282
601	1.38782e+07	4.9348	4.78787
609	1.37541e+07	5.0011	4.85206
609	1.37541e+07	5.0011	4.85206
605	1.38418e+07	5.0011	4.85206
602	1.38418e+07	4.94163	4.79404
608	1.39283e+07	4.99493	4.84487
587	1.39283e+07	4.89743	4.74833
605	1.39283e+07	4.89743	4.74833
589	1.39283e+07	4.89743	4.74833
595	1.39283e+07	4.89743	4.74833
596	1.36835e+07	4.89743	4.74833
595	1.38761e+07	5.01702	4.86695
608	1.3605e+07	5.01702	4.86695
588	1.38403e+07	4.92115	4.7735
600	1.38403e+07	4.85453	4.70931
590	1.38403e+07	4.92537	4.77966
592	1.38403e+07	4.78953	4.64512
577	1.38403e+07	4.92245	4.77555
580	1.38403e+07	4.86135	4.71496
592	1.38403e+07	4.79635	4.65282
582	1.38403e+07	4.8802	4.73344
600	1.39222e+07	4.8802	4.73344
596	1.39222e+07	5.03035	4.87876
598	1.31446e+07	4.9504	4.80225
591	1.38776e+07	4.9504	4.80225
592	1.38776e+07	4.9504	4.80225
595	1.38776e+07	4.9504	4.80225
597	1.38776e+07	4.9504	4.80225
581	1.38776e+07	4.9504	4.80225
599	1.38776e+07	4.82527	4.68107
598	1.38776e+07	4.95528	4.80739
600	1.38776e+07	4.95528	4.80739
595	1.38776e+07	4.95528	4.80739
595	1.38776e+07	5.01345	4.86233
602	1.38776e+07	5.01345	4.86233
592	1.38776e+07	5.01345	4.86233
598	1.38776e+07	5.01345	4.86233
603	1.38776e+07	5.01345	4.86233
589	1.38776e+07	5.01345	4.86233
597	1.38776e+07	5.01345	4.86233
603	1.38776e+07	5.07162	4.91522
589	1.38776e+07	4.9127	4.76528
592	1.38776e+07	4.9127	4.76528
595	1.38776e+07	4.97412	4.82279
602	1.38776e+07	5.02938	4.87774
591	1.38776e+07	5.02938	4.87774
607	1.38776e+07	5.02938	4.87774
595	1.37624e+07	4.9582	4.80893
587	1.38781e+07	4.88735	4.74115
585	1.38781e+07	4.82853	4.68363
601	1.38781e+07	4.71672	4.5758
604	1.38781e+07	4.97835	4.82947
589	1.38781e+07	4.97835	4.82947
587	1.38781e+07	4.79278	4.64974
603	1.38781e+07	4.88312	4.73858
595	1.38781e+07	4.88312	4.73858
583	1.38781e+07	4.9517	4.80328
598	1.38781e+07	4.82235	4.67747
602	1.38781e+07	4.93675	4.78839
607	1.38781e+07	5.03522	4.88287
591	1.38781e+07	4.9725	4.82279
597	1.38781e+07	4.81617	4.6708
589	1.38781e+07	4.88832	4.74115
593	1.38781e+07	4.80708	4.66155
593	1.38781e+07	4.80708	4.66155
590	1.38781e+07	4.80708	4.66155
598	1.38781e+07	4.94097	4.79147
609	1.38781e+07	5.00565	4.85617
605	1.38781e+07	5.00565	4.85617
580	1.38781e+07	4.84543	4.70058
584	1.38781e+07	4.69235	4.55064
580	1.38781e+07	4.69235	4.55064
598	1.38781e+07	4.86753	4.72112
589	1.38781e+07	4.76125	4.61791
598	1.37576e+07	4.8165	4.67182
565	1.38764e+07	4.65368	4.51366
427	1.38764e+07	4.50028	4.36834
224	1.38764e+07	0.560625	0.563823
226	1.38764e+07	0	0
229	1.38764e+07	0	0
226	1.38764e+07	0	0
226	1.38764e+07	0	0
231	1.38764e+07	0	0
229	1.28044e+07	0	0
232	1.38804e+07	0	0
234	1.38804e+07	0	0
229	1.38804e+07	0	0
229	1.38804e+07	0	0
230	1.38804e+07	0	0
230	1.38804e+07	0	0
226	1.38804e+07	0	0
229	1.38804e+07	0	0
230	1.38804e+07	0	0
230	1.38804e+07	0	0
234	1.38804e+07	0	0
234	1.38804e+07	0	0
607	1.38804e+07	0.78	1.5405
611	1.38804e+07	1.95	3.081
599	1.38804e+07	3.9	6.13807
613	1.38804e+07	6.97918	7.76463
606	1.38804e+07	8.1835	7.56796
597	1.38804e+07	7.6414	4.81201
608	1.38804e+07	5.0245	4.87363
613	1.38804e+07	5.1259	4.97119
604	1.38804e+07	4.97315	4.82433
600	1.38804e+07	4.97315	4.82433
600	1.38804e+07	4.9166	4.76887
597	1.38804e+07	4.9166	4.76887
607	1.38804e+07	4.9166	4.76887
611	1.38804e+07	4.9803	4.82947
596	1.38804e+07	4.9803	4.82947
599	1.38804e+07	4.83535	4.6898
596	1.38804e+07	4.83535	4.6898
606	1.38804e+07	4.94195	4.79198
611	1.38804e+07	4.94195	4.79198
601	1.38804e+07	4.94195	4.79198
590	1.38804e+07	4.94195	4.79198
605	1.35387e+07	4.888	4.74063
274	1.38835e+07	4.7385	4.59685
228	1.38835e+07	0	0
229	1.38835e+07	0	0
229	1.38835e+07	0	0
228	1.38835e+07	0	0
230	1.38835e+07	0	0
228	1.38835e+07	0	0
228	1.38835e+07	0	0
228	1.38835e+07	0	0
225	1.38835e+07	0	0
230	1.38835e+07	0	0
229	1.38047e+07	0	0
231	1.39122e+07	0	0
230	1.39122e+07	0	0
225	1.39122e+07	0	0
230	1.39122e+07	0	0
228	1.39122e+07	0	0
230	1.39122e+07	0	0
227	1.39122e+07	0	0
224	1.39122e+07	0	0
227	1.39122e+07	0	0
236	1.39122e+07	0	0
231	1.39122e+07	0	0
224	1.39122e+07	0	0
